grow_policy,max_depth,max_leaves,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,accuracy,auc,best_iteration,complexity
depthwise,4,0,0.01,5,1.0,0.8,0.1,1.0,0.6875298234452044,0.760770907414964,4787,4
depthwise,4,0,0.0025,10,0.8,1.0,0.1,2.0,0.6859392397009703,0.7607659104470482,16074,4
depthwise,4,0,0.01,5,1.0,1.0,0.0,1.0,0.6884841736917449,0.7606693108343778,5770,4
depthwise,4,0,0.005,5,1.0,1.0,0.1,1.0,0.6864959440114522,0.7606283989502268,10606,4
depthwise,4,0,0.005,1,1.0,0.8,0.0,1.0,0.6864959440114522,0.7606254893233392,10716,4
depthwise,4,0,0.005,10,1.0,1.0,0.0,2.0,0.6875298234452044,0.7606189236870144,11976,4
depthwise,4,0,0.01,1,1.0,0.8,0.0,1.0,0.6871321775091459,0.7606070701200851,5229,4
depthwise,4,0,0.0025,1,0.8,1.0,0.0,1.0,0.6867345315730873,0.76058684188794,15443,4
depthwise,4,0,0.0025,1,0.8,1.0,0.1,1.0,0.6857801813265468,0.7605544438250733,15457,4
depthwise,4,0,0.005,1,1.0,0.8,0.0,2.0,0.6861778272626053,0.7605460312082026,9814,4
depthwise,4,0,0.0025,10,1.0,0.8,0.0,2.0,0.6864164148242405,0.7605441209748981,19995,4
depthwise,4,0,0.005,1,1.0,0.8,0.1,1.0,0.6879274693812629,0.760426470844223,9807,4
depthwise,4,0,0.01,5,1.0,0.8,0.0,2.0,0.6861778272626053,0.7604113154833037,4446,4
depthwise,4,0,0.0025,5,1.0,1.0,0.1,2.0,0.6858597105137586,0.7603838890872495,19998,4
depthwise,4,0,0.01,1,1.0,1.0,0.1,2.0,0.6879274693812629,0.7603768047783057,5625,4
depthwise,4,0,0.005,10,0.8,1.0,0.1,1.0,0.6848258310800064,0.7603718078103899,7400,4
depthwise,4,0,0.0025,1,1.0,0.8,0.0,2.0,0.6860187688881819,0.7603463042981919,19021,4
depthwise,4,0,0.005,5,0.8,1.0,0.0,1.0,0.6849848894544298,0.7603137544287051,7394,4
depthwise,4,0,0.005,10,1.0,1.0,0.0,1.0,0.6864164148242405,0.760223657199601,10595,4
depthwise,4,0,0.005,5,1.0,1.0,0.0,1.0,0.6865754731986639,0.7602212662453324,9614,4
depthwise,4,0,0.005,1,0.8,1.0,0.1,2.0,0.6850644186416415,0.7602055036579323,7394,4
lossguide,0,32,0.01,10,0.8,0.8,0.0,2.0,0.6864164148242405,0.7601626941910286,3202,32
